Id,LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,OpenPorchSF,MoSold,SalePrice,TotalSF,Baths_Total,Age_Sold,PorchSF_Total
29,47.0,16321,5,1957,1997,1277,207,1484,1600,1,6,2,1,319,258,12,207500,3084,2.0,49,546
30,60.0,6324,4,1927,1950,0,520,520,520,1,4,0,1,240,0,5,68500,1040,1.0,81,136
31,50.0,8500,4,1920,1950,0,649,649,1317,1,6,0,1,250,54,7,40000,1966,1.0,88,226
32,71.0,8544,5,1966,2006,0,1228,1228,1228,1,6,0,1,271,65,6,149350,2456,1.5,42,65
33,85.0,11049,8,2007,2007,0,1234,1234,1234,2,7,0,2,484,30,1,179900,2468,2.0,1,30
34,70.0,10552,5,1959,1959,1018,380,1398,1700,1,6,1,2,447,38,4,165500,3098,2.0,51,38
35,60.0,7313,9,2005,2005,1153,408,1561,1561,2,6,1,2,556,47,8,277500,3122,3.0,2,250
36,108.0,13418,8,2004,2005,0,1117,1117,2452,3,9,1,3,691,32,9,309000,3569,3.5,2,145
37,112.0,10859,5,1994,1995,0,1097,1097,1097,1,6,0,2,672,64,6,145000,2194,1.5,15,456
38,74.0,8532,5,1954,1990,1213,84,1297,1297,1,5,1,2,498,0,10,153000,2594,1.5,55,0
39,68.0,7922,5,1953,2007,731,326,1057,1057,1,5,0,1,246,52,1,109000,2114,2.0,57,52
40,65.0,6040,4,1955,1955,0,0,0,1152,2,6,0,0,0,0,6,82000,1152,2.0,53,0
41,84.0,8658,6,1965,1965,643,445,1088,1324,2,6,1,2,440,138,12,160000,2412,2.0,41,138
42,115.0,16905,5,1959,1959,967,383,1350,1328,1,5,2,1,308,104,7,170000,2678,2.0,48,104
43,66.5,9180,5,1983,1983,747,0,840,884,1,5,0,2,504,0,12,144000,1724,2.0,24,240
44,70.0,9200,5,1975,1980,280,167,938,938,1,5,0,1,308,0,7,130250,1876,2.0,33,145
45,70.0,7945,5,1959,1959,179,465,1150,1150,1,6,0,1,300,0,5,141000,2300,2.0,47,0
46,61.0,7658,9,2005,2005,456,1296,1752,1752,2,6,1,2,576,82,2,319900,3504,3.0,5,278
47,48.0,12822,7,2003,2003,1351,83,1434,2149,1,6,1,2,670,43,8,239686,3583,2.5,6,409
48,84.0,11096,8,2006,2006,24,1632,1656,1656,2,7,0,3,826,146,7,249700,3312,2.0,1,146
49,33.0,4456,4,1920,2008,0,736,736,1452,2,8,0,0,0,0,6,113000,2188,2.0,89,102
50,66.0,7742,5,1966,1966,763,192,955,955,1,6,0,1,386,0,1,127000,1910,2.0,41,0
51,65.0,13869,6,1997,1997,182,612,794,1470,2,6,0,2,388,75,7,177000,2264,2.5,10,75
52,52.0,6240,6,1934,1950,0,816,816,1176,1,6,1,2,528,0,9,114500,1992,1.0,72,112
53,110.0,8472,5,1963,1963,104,0,816,816,1,5,0,2,516,0,5,110000,1632,2.0,47,106
54,68.0,50271,9,1981,1987,1810,32,1842,1842,0,5,1,3,894,72,11,385000,3684,2.5,25,929
55,60.0,7134,5,1955,1955,384,0,384,1360,1,6,1,2,572,50,2,130000,1744,1.0,52,50
56,100.0,10175,6,1964,1964,490,935,1425,1425,2,7,1,2,576,0,7,180500,2850,2.0,44,407
57,24.0,2645,8,1999,2000,649,321,970,1739,2,7,0,2,480,0,8,172500,2709,3.5,10,115
58,89.0,11645,7,2004,2004,0,860,860,1720,2,7,0,2,565,70,8,196500,2580,2.5,2,70
59,66.0,13682,10,2006,2006,0,1410,1410,2945,3,10,1,3,641,0,10,438780,4355,3.5,0,229
60,60.0,7200,5,1972,1972,632,148,780,780,1,4,0,1,352,0,1,124900,1560,1.0,36,196
61,63.0,13072,6,2004,2004,941,217,1158,1158,1,5,0,2,576,50,5,158000,2316,2.5,2,50
62,60.0,7200,5,1920,1996,0,530,530,1111,1,6,0,1,288,0,3,101000,1641,1.0,87,144
63,44.0,6442,8,2006,2006,24,1346,1370,1370,2,6,1,2,484,49,10,202500,2740,2.0,1,169
64,50.0,10300,7,1921,1950,0,576,576,1710,2,9,0,2,480,11,4,140000,2286,2.0,89,87
65,70.0,9375,7,1997,1998,739,318,1057,2034,2,8,0,2,645,36,2,219500,3091,3.5,12,612
66,76.0,9591,8,2004,2005,0,1143,1143,2473,2,9,1,3,852,151,10,317000,3616,2.5,3,343
67,73.0,19900,7,1970,1989,912,1035,1947,2207,2,7,1,2,576,0,7,180000,4154,3.0,40,301
68,72.0,10665,7,2003,2003,1013,440,1453,1479,2,7,0,2,558,29,6,226000,2932,3.0,4,173
69,47.0,4608,4,1945,1950,0,747,747,747,1,4,0,1,220,0,6,80000,1494,1.0,65,0
70,81.0,15593,7,1953,1953,603,701,1304,2287,2,7,1,2,667,21,7,225000,3591,2.0,53,135
71,95.0,13651,7,1973,1973,1880,343,2223,2223,2,8,2,2,516,0,2,244000,4446,3.0,34,300
72,69.0,7599,4,1982,2006,565,280,845,845,1,4,0,2,360,0,6,129500,1690,2.0,25,0
73,74.0,10141,7,1998,1998,0,832,832,1718,2,7,1,2,427,94,12,185000,2550,2.5,11,385
74,85.0,10200,5,1954,2003,320,404,1086,1086,1,6,0,2,490,0,5,144900,2172,2.0,56,0
75,60.0,5790,3,1915,1950,0,840,840,1605,2,8,0,1,379,0,5,107400,2445,2.0,95,202
76,21.0,1596,4,1973,1973,462,0,462,988,1,5,0,1,297,101,11,91000,1450,2.0,36,221
77,73.0,8475,4,1956,1956,228,724,952,952,1,4,0,1,283,0,4,135750,1904,1.0,52,0
78,50.0,8635,5,1948,2001,336,295,672,1285,1,6,0,1,240,0,1,127000,1957,2.0,60,0
79,72.0,10778,4,1968,1968,0,1768,1768,1768,2,8,0,0,0,0,4,136500,3536,2.0,42,0
80,60.0,10440,5,1910,1981,0,440,440,1230,1,5,0,2,440,0,5,110000,1670,1.5,99,202
81,100.0,13000,6,1968,1968,448,448,896,2142,2,8,1,1,509,72,6,193500,3038,2.5,41,324
82,32.0,4500,6,1998,1998,1201,36,1237,1337,2,5,0,2,405,199,3,153500,2574,3.0,8,199
83,78.0,10206,8,2007,2007,33,1530,1563,1563,2,6,1,3,758,99,10,245000,3126,2.0,1,243
84,80.0,8892,5,1960,1960,0,1065,1065,1065,1,6,0,2,461,0,7,126500,2130,1.5,47,74
85,65.0,8530,7,1995,1996,0,384,384,1474,2,7,1,2,400,72,5,168500,1858,2.5,14,192
86,121.0,16059,8,1991,1992,0,1288,1288,2417,2,9,1,2,462,82,4,260000,3705,2.5,15,209
87,122.0,11911,6,2005,2005,0,684,684,1560,2,6,1,2,400,38,3,174000,2244,2.5,4,138
88,40.0,3951,6,2009,2009,0,612,612,1224,2,4,0,2,528,234,6,164500,1836,2.5,0,234
89,105.0,8470,3,1915,1982,0,1013,1013,1526,1,6,0,0,0,0,10,85000,2539,1.0,94,156
90,60.0,8070,4,1994,1995,588,402,990,990,1,5,0,0,0,0,8,123600,1980,2.0,13,0
91,60.0,7200,4,1950,1950,0,0,0,1040,1,4,0,2,420,29,7,109900,1040,1.0,56,29
92,85.0,8500,5,1961,1961,600,635,1235,1235,1,6,0,2,480,0,12,98600,2470,1.0,45,0
93,80.0,13360,5,1921,2006,713,163,876,964,1,5,0,2,432,0,8,163500,1840,2.0,88,44
94,60.0,7200,6,1910,1998,1046,168,1214,2291,2,9,1,2,506,0,11,133900,3505,2.5,97,99
95,69.0,9337,6,1997,1997,648,176,824,1786,2,7,0,2,684,162,5,204750,2610,3.5,10,162
96,65.0,9765,6,1993,1993,310,370,680,1470,2,6,1,2,420,63,4,185000,2150,2.5,16,295
97,78.0,10264,7,1999,1999,1162,426,1588,1588,2,6,0,2,472,29,8,214000,3176,2.0,7,187
98,73.0,10921,4,1965,1965,520,440,960,960,1,6,0,1,432,0,5,94750,1920,2.0,42,120
99,85.0,10625,5,1920,1950,108,350,458,835,1,5,0,1,366,0,5,83000,1293,1.0,90,77
100,77.0,9320,4,1959,1959,569,381,950,1225,1,6,0,0,0,0,1,128950,2175,2.5,51,352
101,80.0,10603,6,1977,2001,1200,410,1610,1610,2,6,2,2,480,68,2,205000,3220,3.0,33,236
102,77.0,9206,6,1985,1985,0,741,741,1732,2,7,1,2,476,46,6,178000,2473,2.5,25,238
103,64.0,7018,5,1979,1979,0,0,0,1535,2,8,0,2,410,0,6,118964,1535,2.0,30,0
104,94.0,10402,7,2009,2009,0,1226,1226,1226,2,6,0,3,740,36,5,198900,2452,2.0,1,36
105,60.0,7758,7,1931,1950,224,816,1040,1818,1,7,2,1,240,0,6,169500,2858,1.5,76,184
106,75.0,9375,8,2003,2004,0,1053,1053,1992,2,9,1,2,648,45,8,250000,3045,2.5,5,185
107,60.0,10800,4,1885,1995,0,641,641,1047,1,6,0,1,273,0,8,100000,1688,1.0,122,0
108,50.0,6000,5,1948,1950,104,516,789,789,1,5,0,1,250,0,4,115000,1578,1.0,60,0
109,85.0,8500,5,1919,2005,0,793,793,1517,2,7,0,0,0,0,8,115000,2310,2.0,88,144
110,105.0,11751,6,1977,1977,705,1139,1844,1844,2,7,1,2,546,122,1,190000,3688,2.0,33,122
111,75.0,9525,6,1954,1972,444,550,994,1855,2,7,0,1,325,0,10,136900,2849,2.0,52,182
112,65.0,7750,7,2000,2000,250,134,384,1430,2,7,1,2,400,0,4,180000,1814,2.5,10,180
113,77.0,9965,7,2007,2007,984,280,1264,2696,2,10,1,3,792,184,10,383970,3960,3.5,0,472
114,74.0,21000,6,1953,1953,35,905,1809,2259,2,7,2,2,450,120,10,217000,4068,3.0,54,478
115,61.0,7259,6,1945,2002,774,104,1028,2320,2,9,1,1,180,0,7,259500,3348,3.5,62,224
116,34.0,3230,6,1999,1999,419,310,729,1458,2,5,1,2,440,32,6,176000,2187,2.5,8,32
117,71.0,11616,5,1962,1962,170,252,1092,1092,1,6,1,1,288,20,9,139000,2184,1.5,47,164
118,74.0,8536,5,2006,2007,0,1125,1125,1125,1,5,0,2,430,64,4,155000,2250,1.5,1,144
119,90.0,12376,7,1990,1990,1470,203,1673,3222,3,11,2,3,594,0,5,320000,4895,4.0,20,367
120,65.0,8461,6,2005,2006,0,728,728,1456,2,8,1,2,390,24,7,163990,2184,2.5,1,24
121,80.0,21453,6,1969,1969,938,0,938,988,1,4,2,2,540,130,10,180000,1926,2.0,37,260
122,50.0,6060,4,1939,1950,0,732,732,1123,1,4,0,1,264,0,6,100000,1855,1.0,68,140
123,75.0,9464,6,1958,1958,570,510,1080,1080,1,5,0,1,288,0,6,136000,2160,1.0,50,130
124,55.0,7892,6,1993,1993,300,899,1199,1199,2,5,0,2,530,63,3,153900,2398,2.0,15,63
125,48.0,17043,6,1979,1998,0,1362,1362,1586,2,7,1,2,435,0,1,181000,2948,2.0,30,192
126,60.0,6780,6,1935,1982,490,30,520,754,1,5,0,0,0,0,6,84500,1274,2.0,71,53
127,24.0,4928,6,1976,1976,120,958,1078,958,2,5,1,2,440,205,2,128000,2036,2.0,31,205
128,55.0,4388,5,1930,1950,116,556,672,840,1,5,1,0,0,0,6,87000,1512,1.0,77,0
129,69.0,7590,6,1966,1966,512,148,660,1348,1,6,1,2,453,108,7,155000,2008,1.5,40,296
130,69.0,8973,5,1958,1991,567,413,1008,1053,1,6,0,2,750,80,7,150000,2061,2.0,48,260
131,88.0,14200,7,1966,1966,445,479,924,2157,2,8,2,2,487,66,5,226000,3081,2.5,40,171
132,65.0,12224,6,2000,2000,695,297,992,2054,2,7,1,2,390,48,7,244000,3046,3.5,9,72
133,75.0,7388,5,1959,2002,405,658,1063,1327,1,7,0,2,624,0,7,150750,2390,2.0,48,0
134,85.0,6853,8,2001,2002,1005,262,1267,1296,2,6,0,2,471,25,6,220000,2563,3.0,8,217
135,78.0,10335,5,1968,1993,570,891,1461,1721,2,7,1,2,440,96,7,180000,3182,2.5,38,276
136,80.0,10400,7,1970,1970,0,1304,1304,1682,2,7,1,2,530,0,5,174000,2986,2.0,38,98
137,73.0,10355,5,1967,1967,695,519,1214,1214,2,5,1,1,318,111,7,143000,2428,2.0,40,111
138,82.0,11070,7,1988,1989,0,1907,1907,1959,3,9,0,3,766,0,7,171000,3866,3.0,18,0
139,73.0,9066,8,1999,2000,668,336,1004,1852,2,7,2,3,660,106,12,230000,2856,2.5,9,330
140,65.0,15426,6,1997,1997,821,107,928,1764,2,7,0,2,470,99,8,231500,2692,3.5,12,375
141,70.0,10500,4,1971,1971,432,432,864,864,1,5,1,0,0,0,4,115000,1728,1.0,39,0
142,78.0,11645,7,2005,2005,1300,434,1734,1734,2,7,0,2,660,24,1,260000,3468,3.0,1,184
143,71.0,8520,5,1952,1952,507,403,910,1385,2,6,0,2,720,0,6,166000,2295,2.0,58,0
144,78.0,10335,7,1999,1999,679,811,1490,1501,2,6,0,2,577,29,6,204000,2991,3.0,10,173
145,70.0,9100,5,1963,1963,1332,396,1728,1728,2,10,0,2,504,0,11,125000,3456,3.0,43,0
146,24.0,2522,6,2004,2006,0,970,970,1709,2,7,0,2,380,40,4,130000,2679,2.0,2,40
147,51.0,6120,5,1931,1993,209,506,715,875,1,5,0,1,180,0,11,105000,1590,2.0,78,48
148,65.0,9505,7,2001,2001,0,884,884,2035,2,8,1,2,434,48,5,222500,2919,2.5,9,192
149,63.0,7500,7,2004,2005,680,400,1080,1080,1,6,0,0,0,0,4,141000,2160,2.0,4,0
150,52.0,6240,5,1936,1950,0,896,896,1344,1,7,0,1,240,114,4,115000,2240,1.0,70,314
151,120.0,10356,5,1975,1975,716,253,969,969,1,5,0,2,440,0,1,122000,1938,1.5,32,0
152,107.0,13891,8,2007,2008,1400,310,1710,1710,2,6,1,3,866,102,1,372402,3420,3.0,1,102
153,80.0,14803,6,1971,1971,416,409,825,1993,2,8,1,2,495,66,6,190000,2818,2.5,35,66
154,80.0,13500,6,1960,1975,429,93,1602,1252,1,4,1,2,564,0,3,235000,2854,2.0,48,409
155,84.0,11340,6,1923,1950,0,1200,1200,1200,1,7,0,1,312,0,3,125000,2400,1.0,83,228
156,60.0,9600,6,1924,1950,0,572,572,1096,1,5,0,0,0,8,4,79000,1668,1.0,84,136
157,60.0,7200,5,1950,1950,0,0,0,1040,1,5,0,2,625,0,6,109500,1040,1.0,56,0
158,92.0,12003,8,2009,2010,0,774,774,1968,2,8,1,3,680,75,5,269500,2742,2.5,1,75
159,100.0,12552,7,2004,2005,222,769,991,1947,2,8,1,2,678,136,5,254900,2938,2.5,6,136
160,134.0,19378,7,2005,2006,57,1335,1392,2462,2,9,1,2,576,132,3,320000,3854,3.5,1,539
161,68.0,11120,6,1984,1984,660,572,1232,1232,2,6,0,2,516,0,6,162500,2464,2.0,24,0
162,110.0,13688,9,2003,2004,1016,556,1572,2668,2,10,2,3,726,0,3,412500,4240,3.5,5,400
163,95.0,12182,7,2005,2005,1201,340,1541,1541,2,7,1,2,532,70,5,220000,3082,2.0,5,70
164,55.0,5500,4,1956,1956,0,882,882,882,1,4,0,0,0,0,4,103200,1764,1.0,51,0
165,40.0,5400,6,1926,2004,370,779,1149,1616,2,5,0,1,216,0,10,152000,2765,2.0,81,183
166,62.0,10106,5,1940,1999,351,112,644,1355,2,6,0,0,0,0,9,127500,1999,3.0,68,140
167,80.0,10708,5,1955,1993,379,470,1617,1867,1,7,3,1,303,0,11,190000,3484,2.0,54,618
168,86.0,10562,8,2007,2007,1288,294,1582,2161,1,8,1,3,789,120,11,325624,3743,2.5,0,298
169,62.0,8244,7,2004,2004,0,840,840,1720,2,7,1,2,440,48,5,183500,2560,2.5,3,148
170,85.0,16669,8,1981,1981,0,1686,1686,1707,2,6,1,2,511,64,1,228000,3393,2.5,25,638
171,60.0,12358,5,1941,1950,360,360,720,1382,1,7,0,2,660,0,5,128500,2102,1.5,66,237
172,141.0,31770,6,1960,1960,639,441,1080,1656,1,7,2,2,528,62,5,215000,2736,2.0,50,272
173,44.0,5306,7,1987,1987,495,354,1064,1767,2,5,1,2,504,35,6,239000,2831,3.0,19,476
174,80.0,10197,6,1961,1961,288,700,1362,1362,1,6,1,2,504,20,6,163000,2724,2.5,47,20
175,47.0,12416,6,1986,1986,1398,0,1606,1651,2,7,1,2,616,0,11,184000,3257,3.0,22,192
176,84.0,12615,6,1950,2001,477,725,1202,2158,2,7,1,2,576,29,6,243000,3360,3.0,57,68
177,97.0,10029,6,1988,1989,831,320,1151,2060,2,8,1,2,521,228,9,211000,3211,3.0,19,420
178,71.0,13650,5,1958,1958,57,554,1052,1920,2,8,1,2,451,0,7,172500,2972,3.0,48,0
179,63.0,17423,9,2008,2009,1904,312,2216,2234,2,9,1,3,1166,60,7,501837,4450,3.0,1,60
180,60.0,8520,5,1923,2006,0,968,968,968,1,5,0,2,480,0,7,100000,1936,1.0,84,184
181,73.5,2117,6,2000,2000,436,320,756,1525,2,5,1,2,440,0,6,177000,2281,2.5,7,0
182,54.0,7588,7,1920,1950,352,441,793,1802,1,9,1,1,216,0,7,200100,2595,1.5,86,40
183,60.0,9060,5,1957,2006,0,0,0,1340,1,7,1,1,252,0,6,120000,1340,1.0,50,296
184,63.0,11426,7,2003,2003,0,1362,1362,2082,2,6,0,2,484,238,6,200000,3444,2.5,5,518
185,92.0,7438,5,1908,1991,0,504,504,1252,1,5,0,2,576,0,6,127000,1756,1.0,98,104
186,90.0,22950,10,1892,1993,0,1107,1107,3608,2,12,2,3,840,260,6,475000,4715,2.5,114,670
187,73.0,9947,7,1990,1991,611,577,1188,1217,2,6,0,2,497,27,6,173000,2405,3.0,19,195
188,60.0,10410,5,1916,1987,0,660,660,1656,2,8,0,1,180,0,8,135000,2316,2.5,93,140
189,64.0,7018,5,1979,1979,1086,0,1086,1224,0,6,2,2,528,0,6,153337,2310,3.0,30,120
190,41.0,4923,8,2001,2002,1153,440,1593,1593,1,5,1,2,682,120,8,286000,3186,2.5,7,344
191,70.0,10570,8,1932,1994,297,556,853,2727,2,10,2,2,440,74,12,315000,3580,2.5,75,74
192,73.0,7472,7,1972,2004,626,99,725,1479,1,7,0,2,484,32,6,184000,2204,2.5,35,32
193,68.0,9017,7,1999,1999,560,871,1431,1431,2,6,0,2,666,35,9,192000,2862,3.0,10,35
194,24.0,2522,7,2004,2004,0,970,970,1709,2,7,0,2,380,40,5,130000,2679,2.0,2,40
195,60.0,7180,5,1972,1972,390,474,864,864,1,5,0,1,352,0,5,127000,1728,1.0,36,0
196,24.0,2280,6,1976,1976,566,289,855,1456,2,7,1,2,440,0,7,148500,2311,2.5,33,87
197,79.0,9416,7,2007,2007,1126,600,1726,1726,2,8,1,3,786,138,9,311872,3452,3.0,0,575
198,174.0,25419,8,1918,1990,1036,140,1360,3112,2,8,1,2,795,16,3,235000,4472,3.5,88,568
199,92.0,5520,6,1912,1950,0,755,755,2229,1,8,0,0,0,198,7,104000,2984,1.0,97,228
200,76.0,9591,8,2004,2005,1088,625,1713,1713,2,7,1,3,856,26,1,274900,3426,3.0,5,196
201,80.0,8546,4,2003,2004,0,1121,1121,1121,2,5,0,2,440,64,3,140000,2242,2.0,7,196
202,75.0,10125,6,1977,1977,641,276,1196,1279,2,6,2,2,473,83,2,171500,2475,2.5,31,321
203,50.0,7000,6,1924,1950,617,0,617,1310,2,6,0,1,398,0,5,112000,1927,2.0,82,126
204,70.0,4438,6,2004,2004,662,186,848,848,1,3,1,2,420,0,1,149000,1696,2.0,4,149
205,50.0,3500,5,1947,1950,312,408,720,1284,1,5,0,1,240,35,4,110000,2004,1.5,62,35
206,99.0,11851,7,1990,1990,0,1424,1424,1442,2,5,0,2,500,34,5,180500,2866,2.0,19,542
207,40.0,13673,5,1962,1962,0,1140,1140,1696,1,8,1,1,349,30,3,143900,2836,1.5,45,30
208,73.0,12493,4,1960,1960,419,375,1100,1100,1,6,1,1,312,0,4,141000,2200,2.0,48,355
209,66.5,14364,7,1988,1989,1065,92,1157,2062,2,7,1,2,454,55,4,277000,3219,3.5,19,269
210,75.0,8250,6,1964,1964,787,305,1092,1092,1,6,0,2,504,0,7,145000,2184,2.0,44,0
211,67.0,5604,5,1925,1950,468,396,864,864,1,5,0,0,0,0,4,98000,1728,2.0,83,96
212,83.0,10420,6,2009,2009,36,1176,1212,1212,2,6,0,2,460,22,3,186000,2424,2.0,1,122
213,72.0,8640,7,2009,2009,822,78,900,1852,2,7,1,2,644,108,7,252678,2752,3.5,0,276
214,43.0,13568,5,1995,1995,716,274,990,990,1,5,0,2,576,0,7,156000,1980,1.5,11,224
215,70.0,10900,6,1977,1977,378,311,689,1392,1,6,0,1,299,36,3,161750,2081,1.5,33,36
216,72.0,10011,5,1957,1996,360,710,1070,1236,1,6,1,1,447,0,5,134450,2306,1.5,49,0
217,65.0,8450,7,2004,2004,946,490,1436,1436,2,8,0,2,484,98,4,210000,2872,3.0,4,237
218,57.0,9906,4,1925,1950,0,686,686,1328,1,8,0,1,210,172,9,107000,2014,1.0,81,232
219,74.0,15660,7,1939,2006,341,457,798,1954,1,8,2,2,431,119,5,311500,2752,2.0,69,269
220,43.0,3010,7,2005,2006,16,1232,1248,1248,2,5,0,2,438,0,3,167240,2496,2.0,1,108
221,73.0,8990,7,2006,2006,0,1498,1498,1498,2,5,0,2,675,33,4,204900,2996,2.0,0,384
222,65.0,8068,6,2002,2002,0,1010,1010,2267,2,8,1,2,390,46,12,200000,3277,2.5,7,166
223,85.0,11475,6,1975,1975,550,163,713,1552,2,6,1,2,434,208,2,179900,2265,3.5,31,417
224,70.0,10500,4,1971,1971,524,160,864,864,1,4,0,2,576,0,3,97000,1728,1.0,38,216
225,103.0,13472,10,2003,2003,56,2336,2392,2392,2,8,1,3,968,105,6,386250,4784,2.0,6,353
226,21.0,1680,5,1971,1971,0,630,630,1302,2,6,0,1,280,0,5,112000,1932,2.5,38,0
227,82.0,9950,7,1995,1995,565,638,1203,2520,2,9,1,3,721,114,6,290000,3723,2.5,12,338
228,21.0,1869,6,1970,1970,321,162,483,987,1,5,0,1,280,0,9,106000,1470,1.5,38,0
229,70.0,8521,5,1967,1967,842,70,912,912,1,5,1,1,336,0,5,125000,1824,1.0,43,0
230,43.0,3182,7,2005,2006,16,1357,1373,1555,2,7,1,2,430,20,5,192500,2928,2.0,4,163
231,73.0,8760,6,1959,1959,0,1194,1194,1194,1,6,0,1,312,0,4,148000,2388,2.0,51,120
232,174.0,15138,8,1995,1996,689,773,1462,2794,2,9,1,3,810,146,7,403000,4256,3.5,14,348
233,21.0,1680,6,1972,1972,0,483,483,987,1,5,1,1,288,0,6,94500,1470,1.5,34,0
234,75.0,10650,5,1976,1976,182,0,894,894,1,5,0,1,308,0,2,128200,1788,2.0,34,365
235,65.0,7851,6,2002,2002,625,235,860,1960,2,8,2,2,440,48,5,216500,2820,3.5,8,336
236,21.0,1680,6,1971,1971,358,125,483,987,1,5,0,1,264,0,8,89500,1470,1.5,37,0
237,65.0,8773,7,2004,2004,24,1390,1414,1414,2,6,0,2,494,105,5,185500,2828,2.0,6,237
238,66.5,9453,7,1993,2003,402,594,996,1744,2,7,0,2,457,70,2,194500,2740,2.5,17,678
239,93.0,12030,8,2007,2007,0,1694,1694,1694,2,7,0,3,818,228,12,318000,3388,2.0,0,396
240,52.0,8741,6,1945,1950,94,641,735,1487,1,7,1,1,220,140,4,113000,2222,1.5,65,140
241,75.0,9000,8,2008,2008,1078,488,1566,1566,2,7,0,2,750,168,4,262500,3132,3.0,2,312
242,40.0,3880,5,1945,1997,329,357,686,866,1,4,0,0,0,42,8,110500,1552,1.0,62,100
243,63.0,5000,5,1900,1950,0,540,540,1440,1,6,0,1,352,0,4,79000,1980,1.0,106,77
244,75.0,10762,6,1980,1980,0,626,626,1217,1,6,1,1,288,28,4,120000,1843,1.5,29,28
245,66.5,8880,7,1994,2002,695,253,948,2110,2,8,2,2,463,130,5,205000,3058,3.5,16,130
246,80.0,10400,7,1988,1988,929,916,1845,1872,2,6,1,2,604,39,6,241500,3717,2.5,18,236
247,69.0,9142,6,1910,1950,0,1020,1020,1928,2,9,0,1,440,60,4,137000,2948,2.0,96,172
248,75.0,11310,6,1954,1954,0,1367,1367,1375,1,5,1,2,451,30,6,140000,2742,1.0,52,30
249,72.0,11317,7,2003,2003,0,840,840,1668,2,8,0,2,500,68,9,180000,2508,2.5,4,212
250,80.0,159000,6,1958,2006,697,747,1444,2144,2,7,2,2,389,98,6,277000,3588,2.5,49,98
